Points,O.Points,Assists,O.Assists,Blocks,O.Blocks,DefensiveRebounds,O.DefensiveRebounds,Fouls,O.Fouls,FreeThrowsAttempted,O.FreeThrowsAttempted,FreeThrowsMade,O.FreeThrowsMade,OffensiveRebounds,O.OffensiveRebounds,Steals,O.Steals,ThreePointersAttempted,O.ThreePointersAttempted,ThreePointersMade,O.ThreePointersMade,Turnovers,O.Turnovers,TwoPointersMade,TwoPointersAttempted,O.TwoPointersMade,O.TwoPointersAttempted
84,85,23,16,5,7,29,28,26,19,19,26,14,20,16,10,7,6,12,23,4,7,12,12,29,71,22,49
108,99,26,21,7,5,45,20,25,23,24,36,15,25,11,8,3,20,19,14,9,6,26,8,33,55,28,73
103,109,21,18,2,0,28,19,27,23,25,30,21,25,8,10,4,8,11,19,4,8,15,11,35,59,30,55
91,99,19,23,2,5,26,30,23,29,28,23,24,20,11,8,3,4,20,21,9,13,9,13,20,58,20,50
101,86,21,12,7,3,36,41,21,22,22,25,17,18,15,14,9,6,19,25,6,6,9,17,33,73,25,61
110,95,21,14,3,1,33,27,18,19,25,22,17,19,7,12,9,6,14,14,7,8,13,14,36,64,26,69
102,82,25,11,8,5,32,28,27,19,14,35,12,22,14,13,9,10,25,19,12,6,16,19,27,60,21,53
95,105,23,22,3,4,29,34,24,33,41,24,32,17,7,5,9,15,24,7,7,6,21,21,21,43,35,69
100,108,18,18,4,3,30,26,22,24,28,26,26,18,9,9,8,14,12,16,6,6,20,12,28,63,36,66
102,91,25,22,12,4,39,24,21,20,26,18,17,14,15,6,6,9,12,15,7,7,20,10,32,69,28,66
121,126,25,20,0,2,27,31,32,29,26,49,18,41,17,11,3,11,32,21,13,5,18,17,32,64,35,58
113,108,22,25,5,4,29,29,26,31,38,32,31,27,11,10,9,9,8,20,4,7,14,20,35,74,30,59
85,73,14,12,11,12,32,30,22,20,25,23,19,19,18,15,8,5,15,11,4,4,14,17,27,67,21,66
62,73,16,14,7,8,28,35,26,19,17,24,14,14,12,9,8,8,18,10,4,5,20,22,18,57,22,54
100,82,20,24,6,2,36,27,25,29,27,19,22,10,11,19,8,6,22,29,8,8,19,18,27,53,24,66
114,99,26,19,7,4,34,29,25,21,27,41,23,29,12,11,5,7,14,17,7,4,13,9,35,71,29,61
109,85,22,12,7,6,27,24,25,28,37,27,34,22,11,11,9,10,12,7,5,3,17,17,30,61,27,70
109,102,23,21,6,2,32,36,20,23,28,25,24,16,8,18,6,7,26,15,11,4,11,13,26,58,37,78
119,83,28,19,8,2,30,22,23,26,37,26,31,18,11,15,11,4,14,11,6,3,11,17,35,61,28,68
85,77,11,20,6,2,34,27,16,28,35,17,23,14,16,10,6,7,5,10,2,3,12,10,28,67,27,69
