Date,Team,O.Team,Points,O.Points,Assists,O.Assists,BiggestLead,O.BiggestLead,Blocks,O.Blocks,DefensiveRebounds,O.DefensiveRebounds,FastBreakPoints,O.FastBreakPoints,FieldGoalsAttempted,O.FieldGoalsAttempted,FieldGoalsMade,O.FieldGoalsMade,Fouls,O.Fouls,FreeThrowsAttempted,O.FreeThrowsAttempted,FreeThrowsMade,O.FreeThrowsMade,MarginAtTheHalf,O.MarginAtTheHalf,OffensiveRebounds,O.OffensiveRebounds,Rebounds,O.Rebounds,Steals,O.Steals,ThreePointersAttempted,O.ThreePointersAttempted,ThreePointersMade,O.ThreePointersMade,Turnovers,O.Turnovers,Playoffs
20051109,Nets,Jazz,91,83,26,25,15,3,6,2,35,25,16,8,67,82,33,31,23,28,32,18,21,15,-1,1,9,14,44,39,5,8,12,17,4,6,14,10,0
20051109,Nuggets,Kings,107,91,28,21,16,6,10,2,35,24,25,13,88,81,42,31,25,24,27,29,21,20,4,-4,21,12,56,36,4,7,13,21,2,9,12,11,0
20051109,Pacers,Heat,95,90,20,19,9,12,2,8,31,33,16,8,75,74,32,34,24,30,38,28,27,19,-2,2,9,14,40,47,9,7,10,11,4,3,13,21,0
20051109,Seventysixers,Mavericks,112,97,23,19,19,9,6,8,30,24,13,8,83,78,43,37,22,23,28,30,24,20,-6,6,13,12,43,36,8,5,5,14,2,3,12,14,0
20051109,Timberwolves,Lakers,88,74,22,17,16,10,9,1,29,29,6,10,76,78,34,32,23,22,19,14,17,8,0,0,10,9,39,38,6,6,15,6,3,2,13,13,0
20051109,Trailblazers,Knicks,95,83,13,13,15,10,7,5,27,30,11,6,83,71,37,28,26,30,31,35,19,26,-10,10,17,16,44,46,10,5,14,5,2,1,11,19,0
20051109,Wizards,Clippers,97,102,20,26,4,7,3,5,27,33,17,15,94,82,35,41,19,25,29,21,23,18,0,0,18,12,45,45,5,2,17,5,4,2,8,12,0
20051110,Hawks,Clippers,95,102,19,18,2,12,6,7,25,37,2,10,91,75,37,36,23,26,27,35,20,27,-3,3,17,10,42,47,4,8,9,6,1,3,12,17,0
20051110,Heat,Rockets,88,84,15,19,6,8,4,2,30,32,6,2,78,76,34,32,24,25,21,26,13,16,4,-4,13,14,43,46,4,9,22,17,7,4,14,13,0
20051110,Suns,Pistons,104,111,20,25,10,7,5,3,18,28,10,12,88,80,42,43,20,18,16,25,14,18,0,0,15,14,33,42,5,7,16,12,6,7,11,13,0
